player_id;player_name;position;matches_played;matches_started;minutes_played;minutes_per_match;goals;goals_per_match;assists;assists_per_match;yellow_cards;red_cards;total_cards;cards_per_match;penalty_goals;own_goals;clean_sheets;saves;goals_conceded;save_percentage
558;Keito Nakamura;MID;4;4;309;77;1;0,25;2;0,5;0;0;0;0,0;0;0;;;;
559;Junya Ito;MID;4;2;216;108;1;0,25;0;0,0;0;0;0;0,0;0;0;;;;
560;Daichi Kamada;MID;4;4;332;83;2;0,5;0;0,0;1;0;1;0,25;0;0;;;;
561;Tsuyoshi Watanabe;DEF;2;1;90;90;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
562;Yuito Suzuki;MID;1;0;12;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
563;Ayase Ueda;FWD;4;4;324;81;2;0,5;1;0,25;0;0;0;0,0;0;0;;;;
564;Koki Ogawa;FWD;3;0;40;0;0;0,0;1;0,33;0;0;0;0,0;0;0;;;;
565;Ayumu Seko;DEF;2;1;87;87;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
566;Hiroki Ito;DEF;4;4;360;90;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
567;Takehiro Tomiyasu;DEF;3;2;183;92;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
568;Tomoki Hayakawa;GK;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;0,0;0,0;0,0;0,0
569;Kaishu Sano;MID;3;3;270;90;1;0,33;1;0,33;1;0;1;0,33;0;0;;;;
570;Junnosuke Suzuki;DEF;2;0;40;0;0;0,0;0;0,0;1;0;1;0,5;0;0;;;;
571;Kento Shiogai;FWD;1;0;6;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
572;Jacob Mikael Widell Zetterstrom;GK;2;2;180;90;0;0,0;0;0,0;0;0;0;0,0;0;0;0,0;13,0;4,0;76,5
573;Gustaf Johan Lagerbielke;DEF;4;4;360;90;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
574;Victor Jörgen Lindelof;DEF;4;4;357;89;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
575;Isak Malcolm Kwaku Hien;DEF;3;3;217;72;0;0,0;0;0,0;1;0;1;0,33;0;0;;;;
576;Gabriel Johan Gudmundsson;DEF;4;4;332;83;0;0,0;0;0,0;1;0;1;0,25;0;0;;;;
577;Herman Nils Johansson;DEF;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
578;Lucas Erik Holger Bergvall;MID;4;1;179;179;0;0,0;1;0,25;1;0;1;0,25;0;0;;;;
579;Daniel Jonathan Svensson;DEF;3;1;98;98;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
580;Alexander Isak;FWD;4;4;359;90;1;0,25;3;0,75;0;0;0;0,0;0;0;;;;
581;Erik Benjamin Nygren;MID;4;2;131;66;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
582;Anthony David Junior Elanga;FWD;4;2;216;108;2;0,5;0;0,0;0;0;0;0,0;0;0;;;;
583;Tobias Viktor Johansson;GK;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;0,0;0,0;0,0;0,0
584;Ken Sema;MID;1;0;15;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
585;Hjalmar Ekdal;DEF;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
586;Carl Anders Theodor Starfelt;DEF;1;0;3;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
587;Jesper Kewe Karlstrom;MID;2;2;139;70;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
588;Viktor Einar Gyokeres;FWD;4;4;360;90;1;0,25;1;0,25;1;0;1;0,25;0;0;;;;
589;Yasin Ayari;MID;4;4;341;85;2;0,5;0;0,0;1;0;1;0,25;0;0;;;;
590;Mattias Olof Svanberg;MID;2;0;14;0;1;0,5;0;0,0;0;0;0;0,0;0;0;;;;
591;Eric Anders Smith;DEF;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
592;Alexander Olof Bernhardsson;DEF;3;3;220;73;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
593;Besfort Zeneli;MID;2;0;59;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
594;Bo Kristoffer Nordfeldt;GK;2;2;180;90;0;0,0;0;0,0;0;0;0;0,0;0;0;0,0;8,0;6,0;57,1
595;Elliot Karl Stroud;DEF;4;2;167;84;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
596;Håkan Gustaf Nilsson;FWD;1;0;1;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
597;Taha Abdi Ali;FWD;2;0;35;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
598;Abdelmouhib Chamakh;GK;1;1;90;90;0;0,0;0;0,0;0;0;0;0,0;0;0;0,0;6,0;5,0;54,5
599;Ali Abdi;DEF;3;3;270;90;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
600;Montassar Omar Talbi;DEF;3;3;270;90;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
601;Omar Rekik;DEF;2;2;180;90;1;0,5;0;0,0;0;0;0;0,0;0;0;;;;
602;Adam Arous;DEF;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
603;Dylan Daniel Mahmoud Bronn;DEF;1;1;46;46;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
604;Mohamed Elyes Achouri;FWD;3;0;42;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
605;Elias Saad;FWD;2;2;118;59;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
606;Hazem Mastouri;FWD;1;1;90;90;1;1,0;0;0,0;0;0;0;0,0;0;0;;;;
607;Hannibal Mejbri;MID;3;3;270;90;0;0,0;1;0,33;0;0;0;0,0;0;0;;;;
608;Ismael Seifallah Gharbi;MID;3;1;125;125;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
609;Ahmed Mortadha Ben Ouanes;DEF;1;0;23;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
610;Rani Khedira;MID;3;2;152;76;0;0,0;0;0,0;1;0;1;0,33;0;0;;;;
611;Khalil Ayari;MID;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
612;Mohamed Hadj Mahmoud;MID;2;0;41;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
613;Aymen Dahmen;GK;2;2;180;90;0;0,0;0;0,0;0;0;0;0,0;0;0;0,0;7,0;7,0;50,0
614;Ellyes Joris Skhiri;MID;3;3;252;84;0;0,0;0;0,0;0;0;0;0,0;0;1;;;;
615;Rayan Elloumi;FWD;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
616;Firas Chaouat;FWD;3;0;47;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
617;Yan Valery;DEF;3;3;252;84;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
618;Mohamed Amine Ben Hmida;DEF;3;2;201;101;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
619;Sabri Ben Hessen;GK;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;0,0;0,0;0,0;0,0
620;Moutaz Neffati;DEF;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
621;Raed Chikhaoui;DEF;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
622;Anis Slimane;MID;3;3;241;80;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
623;Sebastian Tounekti;MID;3;1;83;83;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
624;Thibaut Nicolas Courtois;GK;6;6;551;92;0;0,0;0;0,0;0;0;0;0,0;0;0;1,0;15,0;7,0;68,2
625;Zeno Koen Debast;DEF;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
626;Arthur Nicolas Theate;DEF;3;2;227;114;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
627;Brandon Erik Mechele;DEF;6;6;570;95;0;0,0;0;0,0;1;0;1;0,17;0;0;;;;
628;Maxim Peter De Cuyper;DEF;6;5;443;89;0;0,0;0;0,0;1;0;1;0,17;0;0;;;;
629;Axel Laurent Witsel;MID;2;0;31;0;0;0,0;0;0,0;1;0;1;0,5;0;0;;;;
630;Kevin De Bruyne;MID;5;5;387;77;1;0,2;0;0,0;1;0;1;0,2;0;0;;;;
631;Youri Marion Tielemans;MID;5;5;475;95;2;0,4;0;0,0;0;0;0;0,0;1;0;;;;
632;Romelu Lukaku;FWD;6;1;229;229;3;0,5;0;0,0;1;0;1;0,17;0;0;;;;
633;Leandro Trossard;FWD;6;6;510;85;2;0,33;2;0,33;0;0;0;0,0;0;0;;;;
634;Jeremy Baffour Doku;FWD;5;4;311;78;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
635;Senne Lammens;GK;1;0;19;0;0;0,0;0;0,0;0;0;0;0,0;0;0;0,0;0,0;0,0;0,0
636;Mike Louis Penders;GK;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;0,0;0,0;0,0;0,0
637;Dodi Lukebakio;FWD;3;1;163;163;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
638;Thomas Andre Meunier;DEF;3;2;190;95;0;0,0;1;0,33;0;0;0;0,0;0;0;;;;
639;Koni De Winter;DEF;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
640;Charles Marc De Ketelaere;FWD;5;5;354;71;3;0,6;0;0,0;0;0;0;0,0;0;0;;;;
641;Joaquin Ronny Seys;DEF;1;0;29;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
642;Diego Manuel Moreira;MID;1;0;57;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
643;Hans Vanaken;MID;6;3;318;106;1;0,17;0;0,0;0;0;0;0,0;0;0;;;;
644;Timothy Castagne;DEF;6;5;478;96;0;0,0;1;0,17;1;0;1;0,17;0;0;;;;
645;Alexis Jesse Saelemaekers;MID;4;1;81;81;1;0,25;0;0,0;0;0;0;0,0;0;0;;;;
646;Nicolas Thierry Raskin;MID;6;3;340;113;0;0,0;1;0,17;0;0;0;0,0;0;0;;;;
647;Amadou Ba Onana;MID;4;2;106;53;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
648;Nathan Ngoy;DEF;4;4;360;90;0;0,0;0;0,0;0;1;1;0,25;0;0;;;;
649;Matias Fernandez-Pardo;FWD;3;0;41;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
650;Elsayed Mohamed Mohamed Elshenawy;GK;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;0,0;0,0;0,0;0,0
651;Ahmed Ibrahim Yasser;DEF;5;4;466;117;1;0,2;0;0,0;1;0;1;0,2;0;0;;;;
652;Hany Gamal Mohamed Hany;DEF;5;5;480;96;0;0,0;1;0,2;0;0;0;0,0;0;2;;;;
653;Abdelmegeed Abdelsalam Hossam Abdelmaguid;DEF;2;0;59;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
654;Abdelaziz Moustafa Ramy Rabia;DEF;5;3;368;123;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
655;Abdelmoneim Elsayed Mohamed;DEF;2;1;15;15;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
656;Ahmed Ibrahim Trezeguet;FWD;4;1;161;161;1;0,25;0;0,0;0;0;0;0,0;0;0;;;;
657;Ashour Metwaly Emam;MID;5;5;367;73;2;0,4;0;0,0;1;0;1;0,2;0;0;;;;
658;Mohamed Abdelkarim Hamza;FWD;4;0;56;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
659;Hamed Mahrous Mohamed Salah;FWD;5;5;427;85;1;0,2;3;0,6;0;0;0;0,0;0;0;;;;
660;Mohamed Zaky Mostafa Zico;MID;5;5;375;75;2;0,4;1;0,2;0;0;0;0,0;0;0;;;;
661;Yousry Fouad Haissem Hassan;FWD;2;1;126;126;0;0,0;1;0,5;1;0;1;0,5;0;0;;;;
662;Mohamed Aboelfetouh Ahmed Fatouh;DEF;3;3;268;89;0;0,0;0;0,0;1;0;1;0,33;0;0;;;;
663;Fathy Abdelhalim Hamdy Fathy;MID;4;3;240;80;0;0,0;0;0,0;1;0;1;0,25;0;0;;;;
664;Hafez Ramadan Karim Hafez;DEF;3;2;172;86;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
665;Mohamed Soliman Mahdy Soliman;GK;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;0,0;0,0;0,0;0,0
666;Mostafa Ahmed Mohanad Lashin;MID;4;4;360;90;0;0,0;0;0,0;2;0;2;0,5;0;0;;;;
667;Aly Elmahdy Nabil;MID;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
668;Attia Fahim Marawan Attia;MID;5;4;433;108;0;0,0;0;0,0;2;0;2;0,4;0;0;;;;
669;Adel Aly Mohamed Ibrahim;FWD;1;0;2;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
670;Saber Abdelmohsen Mahmoud;MID;2;1;47;47;1;0,5;0;0,0;1;0;1;0,5;0;0;;;;
671;Mohamed Abdelsalam Omar;FWD;5;3;326;109;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
672;Abdelaziz Mohame Mostafa;GK;5;5;480;96;0;0,0;0;0,0;1;0;1;0,2;0;0;0,0;11,0;7,0;61,1
673;Abdelghaffar Abdel Tarek Alaa;DEF;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
674;Mostafa Mohamed Zizo;FWD;4;0;54;0;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
675;Alaaeldin Soliman Mohamed Alaa;GK;0;0;0;0;0;0,0;0;0,0;0;0;0;0,0;0;0;0,0;0,0;0,0;0,0
676;Ali Reza Beiranvand;GK;3;3;270;90;0;0,0;0;0,0;0;0;0;0,0;0;0;1,0;16,0;3,0;84,2
677;Saleh Hardani;DEF;2;1;90;90;0;0,0;0;0,0;0;0;0;0,0;0;0;;;;
678;Ehsan Hajisafi;DEF;2;1;91;91;0;0,0;0;0,0;1;0;1;0,5;0;0;;;;
679;Shojae Khalilzadeh;DEF;3;3;270;90;0;0,0;0;0,0;1;0;1;0,33;0;0;;;;
